OG	Tcas	Dmel
OG0006160	TC001144	FBgn0035272
OG0003012	TC014857	FBgn0037543
OG0007387	TC032169,TC032170	FBgn0030412
OG0007394	TC007250	FBgn0031872,FBgn0040388
OG0002656	TC015972	FBgn0032249
OG0001217	TC004396	FBgn0015589,FBgn0026598
OG0000325	TC011748	FBgn0008651,FBgn0011278
OG0003925	TC002433	FBgn0010808
OG0004278	TC030665	FBgn0050392
OG0003534	TC007436	FBgn0003257
OG0005833	TC007421	FBgn0260456
OG0007042	TC004239	FBgn0035799
OG0002313	TC004842	FBgn0037146
OG0000526	TC004964	FBgn0037715,FBgn0052832,FBgn0037714
OG0000116	TC000027	FBgn0027343,FBgn0260400,FBgn0042146,FBgn0024542,FBgn0040365
OG0007416	TC003968,TC006904,TC032660	FBgn0035558
OG0007375	TC007360,TC032824	FBgn0041111
OG0001626	TC014595	FBgn0260941
OG0002096	TC015537	FBgn0040375
OG0004973	TC006095	FBgn0053508
OG0003362	TC032588	FBgn0051279
OG0001918	TC015462	FBgn0036279
OG0006612	TC008389	FBgn0036932
OG0003739	TC012300	FBgn0039296
OG0003111	TC008698	FBgn0037753
OG0005040	TC010479	FBgn0012034
OG0001268	TC010951	FBgn0083992,FBgn0039742
OG0004664	TC008934	FBgn0015477
OG0003088	TC002099	FBgn0037720
OG0000755	TC012168	FBgn0261279
OG0002135	TC008239	FBgn0029713
OG0002333	TC011657	FBgn0037410
OG0007554	TC034465,TC011671	FBgn0085425
OG0005523	TC010228	FBgn0260985
OG0005857	TC014265	FBgn0035050
OG0007280	TC001920	FBgn0024314
OG0004691	TC006062	FBgn0033257
OG0004205	TC007435	FBgn0027330
OG0004532	TC001231	FBgn0033737
OG0006765	TC013017	FBgn0036556
OG0003488	TC009871	FBgn0038772
OG0005981	TC014690	FBgn0265174
OG0001499	TC014342	FBgn0041210
OG0004675	TC014596	FBgn0033369
OG0007392	TC033148,TC013419,TC002563,TC033618	FBgn0050503,FBgn0033170
OG0000416	TC034036,TC011069,TC007618	FBgn0264895
OG0005010	TC034871	FBgn0034976
OG0002358	TC015634	FBgn0011715
OG0002614	TC034624	FBgn0032168
OG0002700	TC031162	FBgn0027582
OG0002902	TC001724	FBgn0010309
OG0000840	TC001613,TC033341,TC032838	FBgn0036756
OG0002825	TC014273	FBgn0032586
OG0003281	TC011122	FBgn0038246
OG0005322	TC031145	FBgn0085447
OG0006621	TC010476	FBgn0005633
OG0006895	TC000130	FBgn0036195
OG0003720	TC007152	FBgn0051111
OG0005619	TC003556	FBgn0261881
OG0001348	TC005588	FBgn0050389
OG0005392	TC015420	FBgn0243511
OG0004301	TC002441	FBgn0010470
OG0008009	TC005641,TC006482,TC006483,TC006484	FBgn0034996
OG0006673	TC005794	FBgn0036828
OG0000180	TC007035,TC008479	FBgn0036046,FBgn0044049,FBgn0044051,FBgn0044048,FBgn0044050
OG0002845	TC007045	FBgn0032635
OG0000298	TC031052	FBgn0040297
OG0008036	TC034105	FBgn0038638
OG0000070	TC006371,TC034671	FBgn0259964,FBgn0040968,FBgn0266363,FBgn0266364,FBgn0264750,FBgn0259989,FBgn0051704
OG0006991	TC032995	FBgn0035876
OG0004091	TC015509	FBgn0034304
OG0000968	TC010977	FBgn0051522
OG0007756	TC004720,TC031800	FBgn0032640
OG0002435	TC014326	FBgn0016075
OG0005190	TC007466	FBgn0288229
OG0004042	TC003818	FBgn0015949
OG0004121	TC013056	FBgn0286222
OG0003857	TC006987	FBgn0039625
OG0007172	TC013807	FBgn0031603
OG0000952	TC015419	FBgn0037332
OG0005321	TC009918	FBgn0085444
OG0004279	TC007089	FBgn0034606
OG0003826	TC010144	FBgn0051051
OG0005644	TC033159	FBgn0262167
OG0006397	TC004390	FBgn0030468
OG0001033	TC033022	FBgn0032486
OG0000297	TC005525	FBgn0032895,FBgn0051676
OG0002122	TC013770	FBgn0000221
OG0006627	TC002552	FBgn0036910
OG0000527	TC007516,TC014710,TC007517	FBgn0013810
OG0007125	TC003335	FBgn0035590
OG0007032	TC031065	FBgn0052365
OG0005210	TC001765	FBgn0025741
OG0003695	TC001149	FBgn0051118
OG0003939	TC011806	FBgn0028968
OG0005889	TC014436	FBgn0035155
OG0002012	TC002985	FBgn0002579
OG0004878	TC002510	FBgn0040153
OG0001267	TC005536,TC000433	FBgn0039748
OG0005834	TC000360	FBgn0035043
OG0003950	TC011012	FBgn0039870
OG0003870	TC015921	FBgn0039687
OG0002301	TC032759	FBgn0052446
OG0002242	TC012457	FBgn0036980
OG0005465	TC005668	FBgn0259982
OG0005146	TC014620	FBgn0000152
OG0001391	TC002649	FBgn0033665
OG0004033	TC013747	FBgn0034494
OG0007059	TC002618	FBgn0035755
OG0007067	TC002697	FBgn0023001
OG0002618	TC006360	FBgn0011584
OG0005535	TC032788	FBgn0261085
OG0007595	TC004838,TC004836	FBgn0004118
OG0005791	TC014227	FBgn0034951
OG0006513	TC000324	FBgn0030838
OG0004599	TC004948	FBgn0033518
OG0001836	TC015175	FBgn0030503
OG0002646	TC013032	FBgn0032246
OG0002865	TC009267	FBgn0032691
OG0008050	TC004705	FBgn0039686
OG0007228	TC004317	FBgn0031473
OG0006065	TC014133	FBgn0267689
OG0007505	TC034698,TC014438	FBgn0031857
OG0004902	TC007094	FBgn0031690
OG0005956	TC032593	FBgn0264606
OG0000662	TC008273	FBgn0033844
OG0006172	TC016033	FBgn0025725
OG0003334	TC006298	FBgn0038358
OG0006677	TC011033	FBgn0036814
OG0002682	TC034762	FBgn0032329
OG0003464	TC001041	FBgn0027784
OG0007768	TC009255,TC001862	FBgn0019624
OG0000562	TC005232	FBgn0029155
OG0001706	TC009484	FBgn0020521
OG0002843	TC032859	FBgn0040985
OG0005747	TC009164	FBgn0034859
OG0000344	TC033650	FBgn0029147
OG0006319	TC032728	FBgn0030245
OG0004699	TC003373	FBgn0013726
OG0002889	TC008984	FBgn0032750
OG0003428	TC008117	FBgn0038607
OG0000542	TC015221	FBgn0085354,FBgn0051988,FBgn0050178
OG0000762	TC014600	FBgn0261556
OG0001535	TC007498	FBgn0288857
OG0002398	TC033301	FBgn0037262
OG0003607	TC012753	FBgn0039056
OG0006275	TC009723	FBgn0035528
OG0000404	TC000237	FBgn0262737
OG0004476	TC011692	FBgn0024556
OG0004650	TC011199	FBgn0033405
OG0007040	TC013551	FBgn0035825
OG0004588	TC013143	FBgn0010356
OG0006044	TC002333	FBgn0266723
OG0003373	TC006489	FBgn0038426
OG0003861	TC000048	FBgn0039665
OG0002067	TC012902	FBgn0023515
OG0003552	TC013704	FBgn0038912
OG0001495	TC003196	FBgn0000028
OG0006764	TC008443	FBgn0000115
OG0003590	TC006375	FBgn0028688
OG0003991	TC034606	FBgn0033092
OG0003943	TC004669	FBgn0043900
OG0003718	TC012364	FBgn0039273
OG0006058	TC031541	FBgn0267428
OG0006969	TC011451	FBgn0035936
OG0004911	TC011013	FBgn0033019
OG0003480	TC013613	FBgn0038727
OG0003409	TC012735	FBgn0010926
OG0004706	TC010199	FBgn0021814
OG0004772	TC015595	FBgn0051997
OG0006589	TC014779	FBgn0031064
OG0007770	TC015400	FBgn0287184
OG0000461	TC003620	FBgn0000394,FBgn0261952,FBgn0003865
OG0004867	TC031530	FBgn0035480
OG0004861	TC013629	FBgn0039120
OG0006526	TC007514	FBgn0030873
OG0004063	TC015037	FBgn0034396
OG0006564	TC011163	FBgn0052536
OG0005355	TC004111	FBgn0289122
OG0001839	TC004932	FBgn0030520
OG0005677	TC012671	FBgn0263006
OG0004118	TC006517	FBgn0029878
OG0000252	TC006429	FBgn0031146,FBgn0036433,FBgn0265413
OG0001387	TC001116,TC009779	FBgn0045063
OG0007038	TC009460	FBgn0027554
OG0006583	TC004962	FBgn0027291
OG0007437	TC008150,TC007297,TC008149	FBgn0033760
OG0006082	TC032605	FBgn0270924
OG0001444	TC006055	FBgn0036496,FBgn0025790
OG0005466	TC001512	FBgn0259984
OG0004757	TC005702	FBgn0027558
OG0001771	TC003976,TC032643	FBgn0266757
OG0002230	TC015155	FBgn0025686
OG0007797	TC032711,TC033509,TC033281,TC004403	FBgn0004584
OG0007807	TC010649	FBgn0037238
OG0004207	TC000229	FBgn0030086
OG0007515	TC007720,TC007721	FBgn0265597
OG0004917	TC000388	FBgn0033010
OG0006978	TC015063	FBgn0011206
OG0007260	TC004104	FBgn0031361
OG0000911	TC033432,TC005187	FBgn0029783
OG0007822	TC001042,TC004117	FBgn0021795
OG0003588	TC000225	FBgn0038977
OG0005265	TC015248	FBgn0083971
OG0001175	TC034301	FBgn0038542,FBgn0038541
OG0001135	TC009046	FBgn0038058
OG0004232	TC014562	FBgn0027084
OG0002566	TC007809	FBgn0003502
OG0002154	TC007191	FBgn0029820
OG0001913	TC009556	FBgn0036345,FBgn0019644
OG0004761	TC004129	FBgn0028996
OG0005411	TC007616	FBgn0250869
OG0008028	TC005329,TC004699	FBgn0259721
OG0003144	TC012556	FBgn0037814
OG0002089	TC015839	FBgn0040394
OG0004844	TC003689	FBgn0015925
OG0001343	TC033748	FBgn0015524
OG0003232	TC000593	FBgn0038118
OG0001957	TC014371	FBgn0052392
OG0003632	TC005996	FBgn0051184
OG0004424	TC033398	FBgn0033989
OG0006226	TC009889	FBgn0035429
OG0000181	TC000272	FBgn0040349,FBgn0051546,FBgn0051548,FBgn0037354,FBgn0051549
OG0005025	TC032755	FBgn0005677
OG0005278	TC006287	FBgn0040007
OG0004628	TC032139	FBgn0033476
OG0002715	TC006498	FBgn0032395
OG0004841	TC008001	FBgn0032120
OG0007343	TC010195	FBgn0003137
OG0005806	TC033325	FBgn0034913
OG0005969	TC001232	FBgn0264954
OG0006405	TC000301	FBgn0002878
OG0001329	TC006384	FBgn0014032,FBgn0030041
OG0004553	TC000470	FBgn0033654
OG0004792	TC007660	FBgn0036255
OG0003052	TC001757	FBgn0037609
OG0003109	TC007395	FBgn0286506
OG0005736	TC002132	FBgn0034816
OG0000242	TC033046	FBgn0259212
OG0001066	TC014788	FBgn0015803
OG0006436	TC005373	FBgn0030631
OG0003851	TC001172	FBgn0039639
OG0006729	TC002738	FBgn0025582
OG0002891	TC013727	FBgn0002031
OG0000123	TC014916,TC014144,TC015378,TC015583,TC015392	FBgn0037323
OG0002858	TC034593	FBgn0041184
OG0001832	TC008237,TC007233	FBgn0030449
OG0000924	TC013684,TC013685	FBgn0027592
OG0003419	TC034768	FBgn0038576
OG0003505	TC034528	FBgn0038818
OG0001275	TC014965	FBgn0039802,FBgn0033885
OG0005559	TC016079	FBgn0261387
OG0006672	TC012381	FBgn0036827
OG0004520	TC013135	FBgn0033728
OG0000895	TC003133	FBgn0029663
OG0003746	TC004859	FBgn0027508
OG0002002	TC032736	FBgn0023537
OG0000008	TC005211,TC000149,TC003662,TC014838,TC002127,TC002874,TC002226,TC004479,TC004905,TC000033,TC015028,TC002606,TC002700,TC004165,TC010289,TC033315,TC002818,TC016077,TC004997,TC002310,TC007000,TC002205,TC031222,TC001727,TC032654,TC031234,TC010275,TC032563	FBgn0027499
OG0003660	TC006450	FBgn0039183
OG0005178	TC013805	FBgn0031285
OG0006570	TC006102	FBgn0000257
OG0006572	TC005067	FBgn0031044
OG0001208	TC032172,TC003719	FBgn0039055
OG0001877	TC001152	FBgn0031037
OG0000211	TC010989	FBgn0036193
