OG	Tcas	Dmel
EIAHH	TC010825	FBgn0033668,FBgn0033667
EIAHJ	TC010782,TC009158	FBgn0014020
EIAHN	TC033806	FBgn0033463
EIAHP	TC008514	FBgn0034276
EIAHQ	TC007703,TC000767	FBgn0031676,FBgn0024994
EIAI1	TC034808	FBgn0032517
EIAIG	TC033398	FBgn0033989
EIAIJ	TC003916	FBgn0261403
EIAJS	TC011476	FBgn0015283
EIAJT	TC013945	FBgn0039396
EIAKT	TC014672	FBgn0262743
EIAKV	TC012465	FBgn0038916
EIAKW	TC008408	FBgn0010488
EIAMH	TC006347	FBgn0002985,FBgn0024244
EIAMM	TC008933	FBgn0040726
EIAMU	TC015168	FBgn0032407
EIANE	TC033086	FBgn0038248
EIAQY	TC000379	FBgn0069242,FBgn0053105
EIAQZ	TC013235	FBgn0010292
EIAR6	TC009519	FBgn0267791
EIARF	TC010417	FBgn0024957,FBgn0024958
EIARI	TC000583	FBgn0030574
EIARJ	TC010229	FBgn0028292
EIARQ	TC010549	FBgn0045843,FBgn0086356
EIAS1	TC013913	FBgn0032474
EIAS2	TC007883	FBgn0027560
EIATK	TC000587	FBgn0038632
EIATM	TC014493	FBgn0034804
EIATP	TC003391	FBgn0027111
EIATY	TC013087	FBgn0002716
EIATZ	TC032304	FBgn0024249
EIAU8	TC006759	FBgn0029892
EIAU9	TC011795	FBgn0036697
EIAUC	TC010925	FBgn0038609
EIAUE	TC015972	FBgn0032249
EIAUF	TC007512	FBgn0086679
EIAUG	TC032177	FBgn0085433
EIAUH	TC009885	FBgn0033528
EIAUM	TC013876	FBgn0023213,FBgn0260634
EIAUS	TC013160	FBgn0032058,FBgn0032057
EIAUT	TC007869	FBgn0031973
EIAUX	TC030652	FBgn0026147,FBgn0031574
EIAV0	TC014636	FBgn0263855
EIAV2	TC004968	FBgn0027948
EIAV3	TC033440	FBgn0085440
EIAVD	TC015170	FBgn0033949,FBgn0286508
EIAVG	TC003481	FBgn0027553
EIAW4	TC009207	FBgn0024509
EIAWB	TC015049	FBgn0052533
EIAWC	TC006507	FBgn0015376
EIAX1	TC002054	FBgn0039849
EIAX5	TC013264	FBgn0033471
EIAX6	TC015824	FBgn0039923
EIAX9	TC011843	FBgn0259791
EIAXB	TC015949	FBgn0035059
EIAXC	TC002875	FBgn0053158
EIAXE	TC004152	FBgn0030674
EIAXG	TC035010,TC002674	FBgn0039705
EIAXU	TC033436	FBgn0023534
EIAY3	TC014481	FBgn0032429
EIAY7	TC012779	FBgn0032886
EIAYJ	TC031441	FBgn0003721,FBgn0004117
EIAZ7	TC000136	FBgn0030431,FBgn0032522
EIAZ8	TC033247	FBgn0263998
EIAZ9	TC003799	FBgn0260748
EIAZS	TC014372	FBgn0035639
EIAZV	TC015810	FBgn0283477
EIAZW	TC001051	FBgn0038666
EIAZX	TC007162	FBgn0003254
EIAZZ	TC013829	FBgn0001228
EIB02	TC006354	FBgn0031245,FBgn0025686
EIB03	TC010144	FBgn0051051
EIB06	TC003312,TC010449	FBgn0014380
EIB07	TC014423	FBgn0052708,FBgn0052706,FBgn0030085,FBgn0030524
EIB09	TC013231	FBgn0030572
EIB0Y	TC016290	FBgn0028520
EIB1Z	TC013492	FBgn0051933,FBgn0032338
EIB2E	TC006198	FBgn0035149
EIB2I	TC014275	FBgn0266557
EIB2Q	TC033521	FBgn0051368
EIB2R	TC033289,TC033980	FBgn0261854
EIB2S	TC031765	FBgn0000247
EIB2U	TC010170	FBgn0028997
EIB2V	TC008704	FBgn0037684
EIB2W	TC008758	FBgn0004580
EIB2Y	TC014560	FBgn0001324
EIB2Z	TC009742	FBgn0035766
EIB30	TC012877	FBgn0014879
EIB32	TC016380	FBgn0044452
EIB34	TC003438,TC003439	FBgn0034406,FBgn0010053,FBgn0034405
EIB4K	TC007135	FBgn0002789
EIB4M	TC010678	FBgn0014868
EIB5N	TC006977	FBgn0035317
EIB5R	TC015622	FBgn0039928
EIB6B	TC007930,TC006176	FBgn0038092,FBgn0038087,FBgn0038084
EIB6D	TC011988	FBgn0014028,FBgn0030975
EIB6E	TC010330,TC010328	FBgn0011693,FBgn0000055
EIB6M	TC034635,TC032574	FBgn0261788
EIB6N	TC035033	FBgn0288967
EIB6Q	TC007692	FBgn0278608
EIB75	TC032269	FBgn0004644
EIB77	TC033574	FBgn0085390
EIB7B	TC014337	FBgn0028894
EIB8E	TC007534	FBgn0015614
